Date,Value and Currency
2024-05-27, 1.1018 CAD to AUD
2024-05-28, 1.1011 CAD to AUD
2024-05-29, 1.1024 CAD to AUD
2024-05-30, 1.1014 CAD to AUD
2024-05-31, 1.1028 CAD to AUD
2024-06-03, 1.0989 CAD to AUD
2024-06-04, 1.1000 CAD to AUD
2024-06-05, 1.0988 CAD to AUD
2024-06-06, 1.0976 CAD to AUD
2024-06-07, 1.1036 CAD to AUD
2024-06-10, 1.1004 CAD to AUD
2024-06-11, 1.1004 CAD to AUD
2024-06-12, 1.0919 CAD to AUD
2024-06-13, 1.0955 CAD to AUD
2024-06-14, 1.1002 CAD to AUD
2024-06-17, 1.1022 CAD to AUD
2024-06-18, 1.0965 CAD to AUD
2024-06-19, 1.0935 CAD to AUD
2024-06-20, 1.0960 CAD to AUD
2024-06-21, 1.0983 CAD to AUD
2024-06-24, 1.0997 CAD to AUD
2024-06-25, 1.1020 CAD to AUD
2024-06-26, 1.0977 CAD to AUD
2024-06-27, 1.0981 CAD to AUD
2024-06-28, 1.0952 CAD to AUD
2024-07-02, 1.0960 CAD to AUD
2024-07-03, 1.0936 CAD to AUD
2024-07-04, 1.0919 CAD to AUD
2024-07-05, 1.0880 CAD to AUD
2024-07-08, 1.0879 CAD to AUD
2024-07-09, 1.0886 CAD to AUD
2024-07-10, 1.0886 CAD to AUD
2024-07-11, 1.0842 CAD to AUD
2024-07-12, 1.0815 CAD to AUD
2024-07-15, 1.0810 CAD to AUD
2024-07-16, 1.0861 CAD to AUD
2024-07-17, 1.0858 CAD to AUD
2024-07-18, 1.0859 CAD to AUD
2024-07-19, 1.0891 CAD to AUD
2024-07-22, 1.0947 CAD to AUD
2024-07-23, 1.0977 CAD to AUD
2024-07-24, 1.0990 CAD to AUD
2024-07-25, 1.1056 CAD to AUD
2024-07-26, 1.1025 CAD to AUD
2024-07-29, 1.1038 CAD to AUD
2024-07-30, 1.1044 CAD to AUD
2024-07-31, 1.1088 CAD to AUD
2024-08-01, 1.1077 CAD to AUD
2024-08-02, 1.1067 CAD to AUD

Average Exchange Rate: 1.0966 CAD to AUD